Environment,Frontend URL,Backend API,CloudFront ID,S3 Bucket,ALB Name,Database Cluster,Health Check,Houses API,Translations API
Development,https://d2rmamd755wq7j.cloudfront.net,amesa-backend-stage-alb-467028641.eu-north-1.elb.amazonaws.com,E2XBDFAUZJTI59,amesa-frontend-dev,amesa-backend-stage-alb,amesadbmain-stage,https://d2rmamd755wq7j.cloudfront.net/health,https://d2rmamd755wq7j.cloudfront.net/api/v1/houses,https://d2rmamd755wq7j.cloudfront.net/api/v1/translations/en
Staging,https://d2ejqzjfslo5hs.cloudfront.net,amesa-backend-stage-alb-467028641.eu-north-1.elb.amazonaws.com,E1D7XQHFF1469W,amesa-frontend-stage,amesa-backend-stage-alb,amesadbmain-stage,https://d2ejqzjfslo5hs.cloudfront.net/health,https://d2ejqzjfslo5hs.cloudfront.net/api/v1/houses,https://d2ejqzjfslo5hs.cloudfront.net/api/v1/translations/en
Production,https://dpqbvdgnenckf.cloudfront.net,amesa-backend-alb-509078867.eu-north-1.elb.amazonaws.com,E3GU3QXUR43ZOH,amesa-frontend-prod,amesa-backend-alb,amesadbmain,https://dpqbvdgnenckf.cloudfront.net/health,https://dpqbvdgnenckf.cloudfront.net/api/v1/houses,https://dpqbvdgnenckf.cloudfront.net/api/v1/translations/en
